nmc_zone,esr,zone_code,supply_hrs,confidence,r,g,b,ai_answer,flag,final_supply_hrs
GANDHIBAGH,Sitaburdi Fort II,SZ-25,CHECK:18-24?,manual,0.352,0.426,0.222,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort II,SZ-10,CHECK:02-04?,manual,0.377,0.371,0.252,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-8,04-08,auto,0.262,0.335,0.403,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-13,CHECK:02-04?,manual,0.418,0.362,0.22,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-2,04-08,auto,0.25,0.333,0.417,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort II,SZ-7,CHECK:02-04?,manual,0.367,0.371,0.262,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort II,SZ-15,CHECK:02-04?,manual,0.375,0.371,0.253,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-9,CHECK:02-04?,manual,0.373,0.363,0.263,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-2,CHECK:02-04?,manual,0.37,0.366,0.264,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-4,CHECK:02-04?,manual,0.363,0.366,0.271,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-17,CHECK:02-04?,manual,0.436,0.36,0.204,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-16,CHECK:02-04?,manual,0.373,0.362,0.264,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-6,CHECK:02-04?,manual,0.375,0.364,0.26,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-3,CHECK:02-04?,manual,0.374,0.367,0.259,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-10,CHECK:02-04?,manual,0.376,0.367,0.258,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-13,CHECK:02-04?,manual,0.376,0.365,0.259,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-14,CHECK:18-24?,manual,0.339,0.408,0.253,18-24,,18-24
GANDHIBAGH,Sitaburdi Fort I,SZ-11,CHECK:02-04?,manual,0.378,0.367,0.255,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-8,CHECK:02-04?,manual,0.392,0.37,0.239,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-7,CHECK:02-04?,manual,0.376,0.365,0.259,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-1,CHECK:02-04?,manual,0.373,0.368,0.259,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-12,CHECK:02-04?,manual,0.38,0.365,0.255,02-04,,02-04
GANDHIBAGH,Sitaburdi Fort I,SZ-15,04-08,auto,0.275,0.334,0.391,04-08,,04-08
GANDHIBAGH,Sitaburdi Fort I,SZ-5,CHECK:02-04?,manual,0.375,0.366,0.259,02-04,,02-04
HANUMAN NAGAR,Chichbhuvan ESR,SZ-13,CHECK:02-04?,manual,0.372,0.399,0.229,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-14,CHECK:18-24?,manual,0.344,0.393,0.263,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-6,CHECK:18-24?,manual,0.362,0.415,0.223,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-5,CHECK:18-24?,manual,0.35,0.398,0.253,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-10,CHECK:18-24?,manual,0.348,0.394,0.259,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-22,CHECK:18-24?,manual,0.343,0.39,0.268,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-19,CHECK:18-24?,manual,0.349,0.39,0.261,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-16,CHECK:18-24?,manual,0.344,0.39,0.265,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-20,CHECK:18-24?,manual,0.345,0.392,0.263,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-2,CHECK:18-24?,manual,0.341,0.4,0.259,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-18,CHECK:18-24?,manual,0.343,0.392,0.265,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-8,CHECK:18-24?,manual,0.337,0.398,0.265,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-1,CHECK:18-24?,manual,0.356,0.406,0.239,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-4,CHECK:02-04?,manual,0.372,0.391,0.236,02-04,,02-04
HANUMAN NAGAR,Chichbhuvan ESR,SZ-17,CHECK:18-24?,manual,0.346,0.393,0.261,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-23,CHECK:18-24?,manual,0.351,0.42,0.229,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-7,CHECK:18-24?,manual,0.348,0.401,0.252,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-15,CHECK:18-24?,manual,0.344,0.398,0.258,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-21,CHECK:18-24?,manual,0.343,0.391,0.267,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-11,CHECK:18-24?,manual,0.343,0.394,0.263,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-12,CHECK:18-24?,manual,0.352,0.398,0.25,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-9,CHECK:18-24?,manual,0.353,0.399,0.248,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan ESR,SZ-3,CHECK:18-24?,manual,0.335,0.408,0.257,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-5,CHECK:18-24?,manual,0.35,0.419,0.231,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-8,CHECK:18-24?,manual,0.339,0.404,0.256,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-2,CHECK:18-24?,manual,0.332,0.409,0.259,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-6,CHECK:18-24?,manual,0.359,0.436,0.205,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-1,CHECK:18-24?,manual,0.346,0.426,0.228,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-7,CHECK:18-24?,manual,0.353,0.412,0.235,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-4,CHECK:18-24?,manual,0.328,0.42,0.253,18-24,,18-24
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-4,CHECK:18-24?,manual,0.328,0.411,0.26,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-11,CHECK:18-24?,manual,0.342,0.383,0.275,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-4,CHECK:02-04?,manual,0.352,0.384,0.264,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-3,CHECK:02-04?,manual,0.347,0.384,0.269,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-1,CHECK:02-04?,manual,0.375,0.36,0.265,02-04,,02-04
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-6,CHECK:02-04?,manual,0.35,0.386,0.264,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-9,CHECK:18-24?,manual,0.341,0.387,0.272,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-2,CHECK:02-04?,manual,0.375,0.359,0.266,02-04,,02-04
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-7,CHECK:02-04?,manual,0.35,0.381,0.269,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-10,CHECK:02-04?,manual,0.351,0.384,0.265,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-12,CHECK:02-04?,manual,0.354,0.383,0.263,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-13,CHECK:02-04?,manual,0.347,0.382,0.271,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-5,CHECK:02-04?,manual,0.346,0.386,0.268,18-24,,18-24
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-8,CHECK:02-04?,manual,0.37,0.391,0.24,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:02-04?,manual,0.404,0.36,0.236,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-19,CHECK:18-24?,manual,0.34,0.387,0.273,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-18,CHECK:02-04?,manual,0.322,0.353,0.325,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-12,CHECK:18-24?,manual,0.343,0.389,0.267,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-9,CHECK:18-24?,manual,0.359,0.405,0.236,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-6,CHECK:18-24?,manual,0.343,0.392,0.265,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-7,CHECK:02-04?,manual,0.358,0.384,0.258,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-10,CHECK:18-24?,manual,0.342,0.392,0.266,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-20,CHECK:18-24?,manual,0.342,0.387,0.271,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-2,CHECK:18-24?,manual,0.35,0.393,0.257,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-11,CHECK:18-24?,manual,0.345,0.388,0.266,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-17,CHECK:18-24?,manual,0.346,0.386,0.268,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-5,CHECK:02-04?,manual,0.349,0.387,0.264,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-8,CHECK:02-04?,manual,0.392,0.359,0.249,02-04,,02-04
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:18-24?,manual,0.343,0.389,0.268,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:18-24?,manual,0.342,0.388,0.269,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-21,CHECK:18-24?,manual,0.349,0.393,0.259,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-16,CHECK:02-04?,manual,0.349,0.383,0.268,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-15,CHECK:18-24?,manual,0.331,0.374,0.294,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-4,CHECK:18-24?,manual,0.347,0.395,0.258,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-3,CHECK:18-24?,manual,0.342,0.39,0.268,18-24,,18-24
HANUMAN NAGAR,OmkarNagar ESR,SZ-14,CHECK:18-24?,manual,0.339,0.393,0.268,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-14,CHECK:18-24?,manual,0.346,0.392,0.263,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-13,CHECK:02-04?,manual,0.357,0.393,0.251,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-11,CHECK:18-24?,manual,0.346,0.391,0.263,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-12,CHECK:18-24?,manual,0.346,0.387,0.267,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-10,CHECK:18-24?,manual,0.344,0.386,0.269,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-8,CHECK:18-24?,manual,0.34,0.392,0.268,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-7,CHECK:18-24?,manual,0.334,0.393,0.273,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-6,CHECK:18-24?,manual,0.341,0.384,0.275,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-5,CHECK:18-24?,manual,0.339,0.39,0.27,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-4,CHECK:18-24?,manual,0.344,0.398,0.258,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-3,CHECK:18-24?,manual,0.34,0.396,0.265,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-2,CHECK:18-24?,manual,0.342,0.402,0.256,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-1,CHECK:18-24?,manual,0.376,0.418,0.206,18-24,,18-24
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-9,CHECK:02-04?,manual,0.379,0.415,0.206,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-8,CHECK:18-24?,manual,0.334,0.433,0.232,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-7,CHECK:18-24?,manual,0.337,0.43,0.233,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-21,CHECK:18-24?,manual,0.328,0.44,0.233,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-20,CHECK:18-24?,manual,0.329,0.444,0.227,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-16,CHECK:18-24?,manual,0.33,0.437,0.233,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-12,CHECK:18-24?,manual,0.355,0.439,0.206,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-5,CHECK:18-24?,manual,0.332,0.44,0.229,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-15,CHECK:18-24?,manual,0.327,0.442,0.23,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-14,CHECK:18-24?,manual,0.329,0.445,0.226,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-2,CHECK:18-24?,manual,0.337,0.44,0.223,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-11,CHECK:18-24?,manual,0.331,0.438,0.231,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-19,CHECK:18-24?,manual,0.309,0.443,0.248,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-1,CHECK:18-24?,manual,0.332,0.435,0.233,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-3,CHECK:18-24?,manual,0.333,0.441,0.226,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-13,CHECK:18-24?,manual,0.335,0.437,0.228,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-9,CHECK:18-24?,manual,0.339,0.447,0.214,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-4,CHECK:18-24?,manual,0.332,0.435,0.233,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-17,CHECK:18-24?,manual,0.327,0.445,0.228,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-6,CHECK:18-24?,manual,0.328,0.438,0.234,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-18,CHECK:18-24?,manual,0.329,0.439,0.232,18-24,,18-24
HANUMAN NAGAR,ShriNagar ESR,SZ-10,CHECK:18-24?,manual,0.33,0.445,0.225,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-7,CHECK:02-04?,manual,0.352,0.39,0.257,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-6,CHECK:18-24?,manual,0.352,0.398,0.25,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-1,CHECK:02-04?,manual,0.355,0.338,0.308,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-15,CHECK:18-24?,manual,0.347,0.39,0.264,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-3,CHECK:18-24?,manual,0.344,0.395,0.261,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-2,CHECK:02-04?,manual,0.381,0.392,0.227,02-04,,02-04
LAKADGANJ,Bharatwadi ESR,SZ-13,CHECK:02-04?,manual,0.353,0.387,0.26,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-17,CHECK:02-04?,manual,0.38,0.362,0.258,02-04,,02-04
LAKADGANJ,Bharatwadi ESR,SZ-16,CHECK:02-04?,manual,0.378,0.39,0.232,02-04,,02-04
LAKADGANJ,Bharatwadi ESR,SZ-9,CHECK:18-24?,manual,0.365,0.409,0.226,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-4,CHECK:02-04?,manual,0.348,0.383,0.269,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-10,CHECK:18-24?,manual,0.339,0.399,0.262,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-8,CHECK:18-24?,manual,0.34,0.395,0.266,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-1,CHECK:18-24?,manual,0.347,0.39,0.263,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-5,CHECK:18-24?,manual,0.336,0.39,0.274,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-12,CHECK:02-04?,manual,0.407,0.358,0.236,02-04,,02-04
LAKADGANJ,Bharatwadi ESR,SZ-14,CHECK:18-24?,manual,0.348,0.395,0.257,18-24,,18-24
LAKADGANJ,Bharatwadi ESR,SZ-17,CHECK:02-04?,manual,0.367,0.362,0.272,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-1,CHECK:18-24?,manual,0.335,0.432,0.233,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-14,CHECK:18-24?,manual,0.327,0.463,0.21,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-10,CHECK:02-04?,manual,0.378,0.373,0.249,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-15,CHECK:18-24?,manual,0.346,0.465,0.189,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-8,CHECK:02-04?,manual,0.384,0.375,0.24,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-13,CHECK:02-04?,manual,0.378,0.374,0.248,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-12,CHECK:02-04?,manual,0.375,0.376,0.248,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-7,CHECK:02-04?,manual,0.379,0.373,0.248,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-2,CHECK:18-24?,manual,0.341,0.431,0.229,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-3,CHECK:18-24?,manual,0.339,0.433,0.228,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-5,CHECK:02-04?,manual,0.391,0.367,0.242,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-4,CHECK:18-24?,manual,0.366,0.459,0.176,18-24,,18-24
LAKADGANJ,Kalamana Minimata ESR,SZ-11,CHECK:02-04?,manual,0.381,0.374,0.245,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-9,CHECK:02-04?,manual,0.382,0.372,0.246,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-6,CHECK:02-04?,manual,0.381,0.371,0.248,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-17,CHECK:02-04?,manual,0.39,0.372,0.238,02-04,,02-04
LAKADGANJ,Kalamana Minimata ESR,SZ-16,CHECK:18-24?,manual,0.341,0.426,0.232,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-24,CHECK:02-04?,manual,0.394,0.354,0.252,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-6,CHECK:02-04?,manual,0.37,0.364,0.265,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-21,CHECK:02-04?,manual,0.406,0.367,0.227,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-16,CHECK:02-04?,manual,0.408,0.363,0.23,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-14,CHECK:02-04?,manual,0.371,0.367,0.261,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-11,CHECK:18-24?,manual,0.353,0.406,0.242,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-3,CHECK:18-24?,manual,0.336,0.424,0.24,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-2,CHECK:02-04?,manual,0.365,0.381,0.255,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-13,CHECK:18-24?,manual,0.335,0.422,0.242,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-8,CHECK:02-04?,manual,0.364,0.382,0.253,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-17,CHECK:02-04?,manual,0.408,0.367,0.225,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-23,CHECK:02-04?,manual,0.409,0.365,0.226,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-5,CHECK:02-04?,manual,0.364,0.383,0.254,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-20,CHECK:02-04?,manual,0.406,0.368,0.226,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-10,CHECK:18-24?,manual,0.327,0.424,0.249,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-1,CHECK:02-04?,manual,0.372,0.365,0.263,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-12,CHECK:02-04?,manual,0.37,0.404,0.227,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-18,CHECK:02-04?,manual,0.411,0.365,0.224,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-4,CHECK:18-24?,manual,0.335,0.422,0.243,18-24,,18-24
LAKADGANJ,PARDI ESR II,SZ-9,CHECK:02-04?,manual,0.371,0.366,0.263,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-7,CHECK:02-04?,manual,0.369,0.367,0.263,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-15,CHECK:02-04?,manual,0.372,0.368,0.26,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-22,CHECK:02-04?,manual,0.407,0.371,0.222,02-04,,02-04
LAKADGANJ,PARDI ESR II,SZ-19,CHECK:02-04?,manual,0.421,0.366,0.213,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-15,CHECK:18-24?,manual,0.34,0.39,0.27,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-14,CHECK:18-24?,manual,0.343,0.389,0.269,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-13,CHECK:18-24?,manual,0.336,0.39,0.274,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-9,CHECK:02-04?,manual,0.398,0.358,0.244,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-3,CHECK:02-04?,manual,0.452,0.301,0.246,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-12,CHECK:18-24?,manual,0.344,0.387,0.269,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-1,CHECK:02-04?,manual,0.436,0.307,0.256,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-18,04-08,auto,0.302,0.342,0.355,04-08,,04-08
LAKADGANJ,PARDI ESR I,SZ-10,CHECK:18-24?,manual,0.345,0.387,0.268,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-11,CHECK:18-24?,manual,0.339,0.387,0.274,18-24,,18-24
LAKADGANJ,PARDI ESR I,SZ-2,CHECK:02-04?,manual,0.431,0.308,0.261,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-17,04-08,auto,0.292,0.343,0.365,04-08,,04-08
LAKADGANJ,PARDI ESR I,SZ-8,CHECK:02-04?,manual,0.401,0.359,0.24,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-6,CHECK:02-04?,manual,0.423,0.309,0.268,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-7,CHECK:02-04?,manual,0.394,0.359,0.247,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-16,04-08,auto,0.299,0.343,0.358,04-08,,04-08
LAKADGANJ,PARDI ESR I,SZ-5,CHECK:02-04?,manual,0.398,0.356,0.245,02-04,,02-04
LAKADGANJ,PARDI ESR I,SZ-4,CHECK:02-04?,manual,0.394,0.358,0.248,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-20,CHECK:18-24?,manual,0.342,0.401,0.257,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-34,CHECK:02-04?,manual,0.411,0.365,0.224,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-42,CHECK:02-04?,manual,0.336,0.365,0.299,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-41,CHECK:02-04?,manual,0.364,0.362,0.274,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-44,CHECK:02-04?,manual,0.372,0.361,0.266,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-29,CHECK:02-04?,manual,0.361,0.356,0.283,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-24,CHECK:18-24?,manual,0.359,0.431,0.211,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-28,CHECK:02-04?,manual,0.345,0.355,0.3,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-2,CHECK:02-04?,manual,0.408,0.362,0.23,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-16,CHECK:18-24?,manual,0.335,0.406,0.259,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-14,CHECK:18-24?,manual,0.339,0.403,0.259,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-11,CHECK:18-24?,manual,0.342,0.403,0.255,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-8,CHECK:02-04?,manual,0.388,0.378,0.234,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-19,CHECK:18-24?,manual,0.347,0.403,0.249,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-18,CHECK:02-04?,manual,0.42,0.362,0.218,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-5,CHECK:18-24?,manual,0.338,0.407,0.254,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-30,CHECK:02-04?,manual,0.376,0.367,0.257,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-36,CHECK:02-04?,manual,0.341,0.358,0.302,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-25,CHECK:18-24?,manual,0.334,0.41,0.256,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-33,CHECK:18-24?,manual,0.341,0.415,0.245,18-24,,18-24
LAKADGANJ,SUBHAN NAGAR ESR,SZ-9,CHECK:02-04?,manual,0.412,0.361,0.227,02-04,,02-04
LAKADGANJ,SUBHAN NAGAR ESR,SZ-35,CHECK:02-04?,manual,0.413,0.366,0.221,02-04,,02-04
