nmc_zone,esr,zone_code,supply_hrs,confidence,r,g,b
HANUMAN NAGAR,Chichbhuvan ESR,SZ-7,CHECK:18-24?,manual,0.348,0.401,0.252
HANUMAN NAGAR,Chichbhuvan ESR,SZ-15,CHECK:18-24?,manual,0.344,0.398,0.258
HANUMAN NAGAR,Chichbhuvan ESR,SZ-21,CHECK:18-24?,manual,0.343,0.391,0.267
HANUMAN NAGAR,Chichbhuvan ESR,SZ-11,CHECK:18-24?,manual,0.343,0.394,0.263
HANUMAN NAGAR,Chichbhuvan ESR,SZ-12,CHECK:18-24?,manual,0.352,0.398,0.25
HANUMAN NAGAR,Chichbhuvan ESR,SZ-9,CHECK:18-24?,manual,0.353,0.399,0.248
HANUMAN NAGAR,Chichbhuvan ESR,SZ-3,CHECK:18-24?,manual,0.335,0.408,0.257
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-5,CHECK:18-24?,manual,0.35,0.419,0.231
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-8,CHECK:18-24?,manual,0.339,0.404,0.256
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-2,CHECK:18-24?,manual,0.332,0.409,0.259
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-6,CHECK:18-24?,manual,0.359,0.436,0.205
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-1,CHECK:18-24?,manual,0.346,0.426,0.228
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-7,CHECK:18-24?,manual,0.353,0.412,0.235
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-4,CHECK:18-24?,manual,0.328,0.42,0.253
HANUMAN NAGAR,Chichbhuvan NIT ESR,SZ-4,CHECK:18-24?,manual,0.328,0.411,0.26
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-11,CHECK:18-24?,manual,0.342,0.383,0.275
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-4,CHECK:02-04?,manual,0.352,0.384,0.264
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-3,CHECK:02-04?,manual,0.347,0.384,0.269
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-1,CHECK:02-04?,manual,0.375,0.36,0.265
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-6,CHECK:02-04?,manual,0.35,0.386,0.264
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-9,CHECK:18-24?,manual,0.341,0.387,0.272
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-2,CHECK:02-04?,manual,0.375,0.359,0.266
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-7,CHECK:02-04?,manual,0.35,0.381,0.269
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-10,CHECK:02-04?,manual,0.351,0.384,0.265
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-12,CHECK:02-04?,manual,0.354,0.383,0.263
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-13,CHECK:02-04?,manual,0.347,0.382,0.271
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-5,CHECK:02-04?,manual,0.346,0.386,0.268
HANUMAN NAGAR,Nalanda Nagar ESR,SZ-8,CHECK:02-04?,manual,0.37,0.391,0.24
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:02-04?,manual,0.404,0.36,0.236
HANUMAN NAGAR,OmkarNagar ESR,SZ-19,CHECK:18-24?,manual,0.34,0.387,0.273
HANUMAN NAGAR,OmkarNagar ESR,SZ-18,CHECK:02-04?,manual,0.322,0.353,0.325
HANUMAN NAGAR,OmkarNagar ESR,SZ-12,CHECK:18-24?,manual,0.343,0.389,0.267
HANUMAN NAGAR,OmkarNagar ESR,SZ-9,CHECK:18-24?,manual,0.359,0.405,0.236
HANUMAN NAGAR,OmkarNagar ESR,SZ-6,CHECK:18-24?,manual,0.343,0.392,0.265
HANUMAN NAGAR,OmkarNagar ESR,SZ-7,CHECK:02-04?,manual,0.358,0.384,0.258
HANUMAN NAGAR,OmkarNagar ESR,SZ-10,CHECK:18-24?,manual,0.342,0.392,0.266
HANUMAN NAGAR,OmkarNagar ESR,SZ-20,CHECK:18-24?,manual,0.342,0.387,0.271
HANUMAN NAGAR,OmkarNagar ESR,SZ-2,CHECK:18-24?,manual,0.35,0.393,0.257
HANUMAN NAGAR,OmkarNagar ESR,SZ-11,CHECK:18-24?,manual,0.345,0.388,0.266
HANUMAN NAGAR,OmkarNagar ESR,SZ-17,CHECK:18-24?,manual,0.346,0.386,0.268
HANUMAN NAGAR,OmkarNagar ESR,SZ-5,CHECK:02-04?,manual,0.349,0.387,0.264
HANUMAN NAGAR,OmkarNagar ESR,SZ-8,CHECK:02-04?,manual,0.392,0.359,0.249
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:18-24?,manual,0.343,0.389,0.268
HANUMAN NAGAR,OmkarNagar ESR,SZ-1,CHECK:18-24?,manual,0.342,0.388,0.269
HANUMAN NAGAR,OmkarNagar ESR,SZ-21,CHECK:18-24?,manual,0.349,0.393,0.259
HANUMAN NAGAR,OmkarNagar ESR,SZ-16,CHECK:02-04?,manual,0.349,0.383,0.268
HANUMAN NAGAR,OmkarNagar ESR,SZ-15,CHECK:18-24?,manual,0.331,0.374,0.294
HANUMAN NAGAR,OmkarNagar ESR,SZ-4,CHECK:18-24?,manual,0.347,0.395,0.258
HANUMAN NAGAR,OmkarNagar ESR,SZ-3,CHECK:18-24?,manual,0.342,0.39,0.268
HANUMAN NAGAR,OmkarNagar ESR,SZ-14,CHECK:18-24?,manual,0.339,0.393,0.268
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-14,CHECK:18-24?,manual,0.346,0.392,0.263
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-13,CHECK:02-04?,manual,0.357,0.393,0.251
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-11,CHECK:18-24?,manual,0.346,0.391,0.263
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-12,CHECK:18-24?,manual,0.346,0.387,0.267
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-10,CHECK:18-24?,manual,0.344,0.386,0.269
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-8,CHECK:18-24?,manual,0.34,0.392,0.268
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-7,CHECK:18-24?,manual,0.334,0.393,0.273
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-6,CHECK:18-24?,manual,0.341,0.384,0.275
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-5,CHECK:18-24?,manual,0.339,0.39,0.27
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-4,CHECK:18-24?,manual,0.344,0.398,0.258
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-3,CHECK:18-24?,manual,0.34,0.396,0.265
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-2,CHECK:18-24?,manual,0.342,0.402,0.256
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-1,CHECK:18-24?,manual,0.376,0.418,0.206
HANUMAN NAGAR,Omkar Nagar ESR-1,SZ-9,CHECK:02-04?,manual,0.379,0.415,0.206
HANUMAN NAGAR,ShriNagar ESR,SZ-8,CHECK:18-24?,manual,0.334,0.433,0.232
HANUMAN NAGAR,ShriNagar ESR,SZ-7,CHECK:18-24?,manual,0.337,0.43,0.233
HANUMAN NAGAR,ShriNagar ESR,SZ-21,CHECK:18-24?,manual,0.328,0.44,0.233
HANUMAN NAGAR,ShriNagar ESR,SZ-20,CHECK:18-24?,manual,0.329,0.444,0.227
HANUMAN NAGAR,ShriNagar ESR,SZ-16,CHECK:18-24?,manual,0.33,0.437,0.233
HANUMAN NAGAR,ShriNagar ESR,SZ-12,CHECK:18-24?,manual,0.355,0.439,0.206
HANUMAN NAGAR,ShriNagar ESR,SZ-5,CHECK:18-24?,manual,0.332,0.44,0.229
HANUMAN NAGAR,ShriNagar ESR,SZ-15,CHECK:18-24?,manual,0.327,0.442,0.23
HANUMAN NAGAR,ShriNagar ESR,SZ-14,CHECK:18-24?,manual,0.329,0.445,0.226
HANUMAN NAGAR,ShriNagar ESR,SZ-2,CHECK:18-24?,manual,0.337,0.44,0.223
HANUMAN NAGAR,ShriNagar ESR,SZ-11,CHECK:18-24?,manual,0.331,0.438,0.231
HANUMAN NAGAR,ShriNagar ESR,SZ-19,CHECK:18-24?,manual,0.309,0.443,0.248
HANUMAN NAGAR,ShriNagar ESR,SZ-1,CHECK:18-24?,manual,0.332,0.435,0.233
HANUMAN NAGAR,ShriNagar ESR,SZ-3,CHECK:18-24?,manual,0.333,0.441,0.226
HANUMAN NAGAR,ShriNagar ESR,SZ-13,CHECK:18-24?,manual,0.335,0.437,0.228
HANUMAN NAGAR,ShriNagar ESR,SZ-9,CHECK:18-24?,manual,0.339,0.447,0.214
HANUMAN NAGAR,ShriNagar ESR,SZ-4,CHECK:18-24?,manual,0.332,0.435,0.233
HANUMAN NAGAR,ShriNagar ESR,SZ-17,CHECK:18-24?,manual,0.327,0.445,0.228
HANUMAN NAGAR,ShriNagar ESR,SZ-6,CHECK:18-24?,manual,0.328,0.438,0.234
HANUMAN NAGAR,ShriNagar ESR,SZ-18,CHECK:18-24?,manual,0.329,0.439,0.232
HANUMAN NAGAR,ShriNagar ESR,SZ-10,CHECK:18-24?,manual,0.33,0.445,0.225
LAKADGANJ,Bharatwadi ESR,SZ-7,CHECK:02-04?,manual,0.352,0.39,0.257
LAKADGANJ,Bharatwadi ESR,SZ-6,CHECK:18-24?,manual,0.352,0.398,0.25
LAKADGANJ,Bharatwadi ESR,SZ-1,CHECK:02-04?,manual,0.355,0.338,0.308
LAKADGANJ,Bharatwadi ESR,SZ-15,CHECK:18-24?,manual,0.347,0.39,0.264
LAKADGANJ,Bharatwadi ESR,SZ-3,CHECK:18-24?,manual,0.344,0.395,0.261
LAKADGANJ,Bharatwadi ESR,SZ-2,CHECK:02-04?,manual,0.381,0.392,0.227
LAKADGANJ,Bharatwadi ESR,SZ-13,CHECK:02-04?,manual,0.353,0.387,0.26
LAKADGANJ,Bharatwadi ESR,SZ-17,CHECK:02-04?,manual,0.38,0.362,0.258
LAKADGANJ,Bharatwadi ESR,SZ-16,CHECK:02-04?,manual,0.378,0.39,0.232
LAKADGANJ,Bharatwadi ESR,SZ-9,CHECK:18-24?,manual,0.365,0.409,0.226
LAKADGANJ,Bharatwadi ESR,SZ-4,CHECK:02-04?,manual,0.348,0.383,0.269
LAKADGANJ,Bharatwadi ESR,SZ-10,CHECK:18-24?,manual,0.339,0.399,0.262
LAKADGANJ,Bharatwadi ESR,SZ-8,CHECK:18-24?,manual,0.34,0.395,0.266
LAKADGANJ,Bharatwadi ESR,SZ-1,CHECK:18-24?,manual,0.347,0.39,0.263
LAKADGANJ,Bharatwadi ESR,SZ-5,CHECK:18-24?,manual,0.336,0.39,0.274
LAKADGANJ,Bharatwadi ESR,SZ-12,CHECK:02-04?,manual,0.407,0.358,0.236
LAKADGANJ,Bharatwadi ESR,SZ-14,CHECK:18-24?,manual,0.348,0.395,0.257
LAKADGANJ,Bharatwadi ESR,SZ-17,CHECK:02-04?,manual,0.367,0.362,0.272
LAKADGANJ,Kalamana Minimata ESR,SZ-1,CHECK:18-24?,manual,0.335,0.432,0.233
LAKADGANJ,Kalamana Minimata ESR,SZ-14,CHECK:18-24?,manual,0.327,0.463,0.21
LAKADGANJ,Kalamana Minimata ESR,SZ-10,CHECK:02-04?,manual,0.378,0.373,0.249
LAKADGANJ,Kalamana Minimata ESR,SZ-15,CHECK:18-24?,manual,0.346,0.465,0.189
LAKADGANJ,Kalamana Minimata ESR,SZ-8,CHECK:02-04?,manual,0.384,0.375,0.24
LAKADGANJ,Kalamana Minimata ESR,SZ-13,CHECK:02-04?,manual,0.378,0.374,0.248
LAKADGANJ,Kalamana Minimata ESR,SZ-12,CHECK:02-04?,manual,0.375,0.376,0.248
LAKADGANJ,Kalamana Minimata ESR,SZ-7,CHECK:02-04?,manual,0.379,0.373,0.248
LAKADGANJ,Kalamana Minimata ESR,SZ-2,CHECK:18-24?,manual,0.341,0.431,0.229
LAKADGANJ,Kalamana Minimata ESR,SZ-3,CHECK:18-24?,manual,0.339,0.433,0.228
LAKADGANJ,Kalamana Minimata ESR,SZ-5,CHECK:02-04?,manual,0.391,0.367,0.242
LAKADGANJ,Kalamana Minimata ESR,SZ-4,CHECK:18-24?,manual,0.366,0.459,0.176
LAKADGANJ,Kalamana Minimata ESR,SZ-11,CHECK:02-04?,manual,0.381,0.374,0.245
LAKADGANJ,Kalamana Minimata ESR,SZ-9,CHECK:02-04?,manual,0.382,0.372,0.246
LAKADGANJ,Kalamana Minimata ESR,SZ-6,CHECK:02-04?,manual,0.381,0.371,0.248
LAKADGANJ,Kalamana Minimata ESR,SZ-17,CHECK:02-04?,manual,0.39,0.372,0.238
LAKADGANJ,Kalamana Minimata ESR,SZ-16,CHECK:18-24?,manual,0.341,0.426,0.232
LAKADGANJ,PARDI ESR II,SZ-24,CHECK:02-04?,manual,0.394,0.354,0.252
LAKADGANJ,PARDI ESR II,SZ-6,CHECK:02-04?,manual,0.37,0.364,0.265
LAKADGANJ,PARDI ESR II,SZ-21,CHECK:02-04?,manual,0.406,0.367,0.227
LAKADGANJ,PARDI ESR II,SZ-16,CHECK:02-04?,manual,0.408,0.363,0.23
LAKADGANJ,PARDI ESR II,SZ-14,CHECK:02-04?,manual,0.371,0.367,0.261
LAKADGANJ,PARDI ESR II,SZ-11,CHECK:18-24?,manual,0.353,0.406,0.242
LAKADGANJ,PARDI ESR II,SZ-3,CHECK:18-24?,manual,0.336,0.424,0.24
LAKADGANJ,PARDI ESR II,SZ-2,CHECK:02-04?,manual,0.365,0.381,0.255
LAKADGANJ,PARDI ESR II,SZ-13,CHECK:18-24?,manual,0.335,0.422,0.242
LAKADGANJ,PARDI ESR II,SZ-8,CHECK:02-04?,manual,0.364,0.382,0.253
LAKADGANJ,PARDI ESR II,SZ-17,CHECK:02-04?,manual,0.408,0.367,0.225
LAKADGANJ,PARDI ESR II,SZ-23,CHECK:02-04?,manual,0.409,0.365,0.226
LAKADGANJ,PARDI ESR II,SZ-5,CHECK:02-04?,manual,0.364,0.383,0.254
LAKADGANJ,PARDI ESR II,SZ-20,CHECK:02-04?,manual,0.406,0.368,0.226
LAKADGANJ,PARDI ESR II,SZ-10,CHECK:18-24?,manual,0.327,0.424,0.249
LAKADGANJ,PARDI ESR II,SZ-1,CHECK:02-04?,manual,0.372,0.365,0.263
LAKADGANJ,PARDI ESR II,SZ-12,CHECK:02-04?,manual,0.37,0.404,0.227
LAKADGANJ,PARDI ESR II,SZ-18,CHECK:02-04?,manual,0.411,0.365,0.224
LAKADGANJ,PARDI ESR II,SZ-4,CHECK:18-24?,manual,0.335,0.422,0.243
LAKADGANJ,PARDI ESR II,SZ-9,CHECK:02-04?,manual,0.371,0.366,0.263
LAKADGANJ,PARDI ESR II,SZ-7,CHECK:02-04?,manual,0.369,0.367,0.263
LAKADGANJ,PARDI ESR II,SZ-15,CHECK:02-04?,manual,0.372,0.368,0.26
LAKADGANJ,PARDI ESR II,SZ-22,CHECK:02-04?,manual,0.407,0.371,0.222
LAKADGANJ,PARDI ESR II,SZ-19,CHECK:02-04?,manual,0.421,0.366,0.213
LAKADGANJ,PARDI ESR I,SZ-15,CHECK:18-24?,manual,0.34,0.39,0.27
LAKADGANJ,PARDI ESR I,SZ-14,CHECK:18-24?,manual,0.343,0.389,0.269
LAKADGANJ,PARDI ESR I,SZ-13,CHECK:18-24?,manual,0.336,0.39,0.274
LAKADGANJ,PARDI ESR I,SZ-9,CHECK:02-04?,manual,0.398,0.358,0.244
LAKADGANJ,PARDI ESR I,SZ-3,CHECK:02-04?,manual,0.452,0.301,0.246
LAKADGANJ,PARDI ESR I,SZ-12,CHECK:18-24?,manual,0.344,0.387,0.269
LAKADGANJ,PARDI ESR I,SZ-1,CHECK:02-04?,manual,0.436,0.307,0.256
LAKADGANJ,PARDI ESR I,SZ-18,04-08,auto,0.302,0.342,0.355
LAKADGANJ,PARDI ESR I,SZ-10,CHECK:18-24?,manual,0.345,0.387,0.268
LAKADGANJ,PARDI ESR I,SZ-11,CHECK:18-24?,manual,0.339,0.387,0.274
LAKADGANJ,PARDI ESR I,SZ-2,CHECK:02-04?,manual,0.431,0.308,0.261
LAKADGANJ,PARDI ESR I,SZ-17,04-08,auto,0.292,0.343,0.365
LAKADGANJ,PARDI ESR I,SZ-8,CHECK:02-04?,manual,0.401,0.359,0.24
LAKADGANJ,PARDI ESR I,SZ-6,CHECK:02-04?,manual,0.423,0.309,0.268
LAKADGANJ,PARDI ESR I,SZ-7,CHECK:02-04?,manual,0.394,0.359,0.247
LAKADGANJ,PARDI ESR I,SZ-16,04-08,auto,0.299,0.343,0.358
LAKADGANJ,PARDI ESR I,SZ-5,CHECK:02-04?,manual,0.398,0.356,0.245
LAKADGANJ,PARDI ESR I,SZ-4,CHECK:02-04?,manual,0.394,0.358,0.248
LAKADGANJ,SUBHAN NAGAR ESR,SZ-20,CHECK:18-24?,manual,0.342,0.401,0.257
LAKADGANJ,SUBHAN NAGAR ESR,SZ-34,CHECK:02-04?,manual,0.411,0.365,0.224
LAKADGANJ,SUBHAN NAGAR ESR,SZ-42,CHECK:02-04?,manual,0.336,0.365,0.299
LAKADGANJ,SUBHAN NAGAR ESR,SZ-41,CHECK:02-04?,manual,0.364,0.362,0.274
LAKADGANJ,SUBHAN NAGAR ESR,SZ-44,CHECK:02-04?,manual,0.372,0.361,0.266
LAKADGANJ,SUBHAN NAGAR ESR,SZ-29,CHECK:02-04?,manual,0.361,0.356,0.283
LAKADGANJ,SUBHAN NAGAR ESR,SZ-24,CHECK:18-24?,manual,0.359,0.431,0.211
LAKADGANJ,SUBHAN NAGAR ESR,SZ-28,CHECK:02-04?,manual,0.345,0.355,0.3
LAKADGANJ,SUBHAN NAGAR ESR,SZ-2,CHECK:02-04?,manual,0.408,0.362,0.23
LAKADGANJ,SUBHAN NAGAR ESR,SZ-16,CHECK:18-24?,manual,0.335,0.406,0.259
LAKADGANJ,SUBHAN NAGAR ESR,SZ-14,CHECK:18-24?,manual,0.339,0.403,0.259
LAKADGANJ,SUBHAN NAGAR ESR,SZ-11,CHECK:18-24?,manual,0.342,0.403,0.255
LAKADGANJ,SUBHAN NAGAR ESR,SZ-8,CHECK:02-04?,manual,0.388,0.378,0.234
LAKADGANJ,SUBHAN NAGAR ESR,SZ-19,CHECK:18-24?,manual,0.347,0.403,0.249
LAKADGANJ,SUBHAN NAGAR ESR,SZ-18,CHECK:02-04?,manual,0.42,0.362,0.218
LAKADGANJ,SUBHAN NAGAR ESR,SZ-5,CHECK:18-24?,manual,0.338,0.407,0.254
LAKADGANJ,SUBHAN NAGAR ESR,SZ-30,CHECK:02-04?,manual,0.376,0.367,0.257
LAKADGANJ,SUBHAN NAGAR ESR,SZ-36,CHECK:02-04?,manual,0.341,0.358,0.302
LAKADGANJ,SUBHAN NAGAR ESR,SZ-25,CHECK:18-24?,manual,0.334,0.41,0.256
LAKADGANJ,SUBHAN NAGAR ESR,SZ-33,CHECK:18-24?,manual,0.341,0.415,0.245
LAKADGANJ,SUBHAN NAGAR ESR,SZ-9,CHECK:02-04?,manual,0.412,0.361,0.227
LAKADGANJ,SUBHAN NAGAR ESR,SZ-35,CHECK:02-04?,manual,0.413,0.366,0.221
LAKADGANJ,SUBHAN NAGAR ESR,SZ-31,CHECK:18-24?,manual,0.341,0.403,0.256
LAKADGANJ,SUBHAN NAGAR ESR,SZ-13,CHECK:18-24?,manual,0.369,0.416,0.215
LAKADGANJ,SUBHAN NAGAR ESR,SZ-32,CHECK:02-04?,manual,0.404,0.386,0.21
LAKADGANJ,SUBHAN NAGAR ESR,SZ-21,CHECK:18-24?,manual,0.341,0.416,0.243
LAKADGANJ,SUBHAN NAGAR ESR,SZ-12,CHECK:18-24?,manual,0.337,0.407,0.255
LAKADGANJ,SUBHAN NAGAR ESR,SZ-43,CHECK:02-04?,manual,0.377,0.366,0.257
LAKADGANJ,SUBHAN NAGAR ESR,SZ-7,CHECK:02-04?,manual,0.392,0.359,0.249
LAKADGANJ,SUBHAN NAGAR ESR,SZ-23,CHECK:18-24?,manual,0.355,0.416,0.23
LAKADGANJ,SUBHAN NAGAR ESR,SZ-10,04-08,auto,0.278,0.343,0.379
LAKADGANJ,SUBHAN NAGAR ESR,SZ-40,CHECK:02-04?,manual,0.41,0.373,0.217
LAKADGANJ,SUBHAN NAGAR ESR,SZ-26,CHECK:18-24?,manual,0.337,0.416,0.247
LAKADGANJ,SUBHAN NAGAR ESR,SZ-22,CHECK:18-24?,manual,0.334,0.408,0.258
LAKADGANJ,SUBHAN NAGAR ESR,SZ-17,CHECK:18-24?,manual,0.349,0.414,0.238
LAKADGANJ,SUBHAN NAGAR ESR,SZ-6,CHECK:02-04?,manual,0.411,0.361,0.227
LAKADGANJ,SUBHAN NAGAR ESR,SZ-15,CHECK:18-24?,manual,0.337,0.406,0.258
LAKADGANJ,SUBHAN NAGAR ESR,SZ-27,CHECK:02-04?,manual,0.356,0.358,0.286
LAKADGANJ,SUBHAN NAGAR ESR,SZ-37,CHECK:02-04?,manual,0.376,0.362,0.262
LAKADGANJ,SUBHAN NAGAR ESR,SZ-39,CHECK:02-04?,manual,0.421,0.367,0.212
LAKADGANJ,SUBHAN NAGAR ESR,SZ-38,CHECK:02-04?,manual,0.408,0.369,0.222
LaxmiNagar,GAYATRI NAGAR ESR,SZ-4,CHECK:18-24?,manual,0.34,0.38,0.28
LaxmiNagar,GAYATRI NAGAR ESR,SZ-7,CHECK:02-04?,manual,0.399,0.351,0.25
LaxmiNagar,GAYATRI NAGAR ESR,SZ-3,CHECK:02-04?,manual,0.4,0.353,0.247
LaxmiNagar,GAYATRI NAGAR ESR,SZ-10,CHECK:02-04?,manual,0.374,0.358,0.268
LaxmiNagar,GAYATRI NAGAR ESR,SZ-9,CHECK:02-04?,manual,0.362,0.366,0.271
LaxmiNagar,GAYATRI NAGAR ESR,SZ-5,CHECK:02-04?,manual,0.397,0.355,0.248
LaxmiNagar,GAYATRI NAGAR ESR,SZ-11,CHECK:02-04?,manual,0.374,0.358,0.268
LaxmiNagar,GAYATRI NAGAR ESR,SZ-6,CHECK:02-04?,manual,0.35,0.388,0.262
LaxmiNagar,GAYATRI NAGAR ESR,SZ-2,CHECK:18-24?,manual,0.34,0.387,0.273
LaxmiNagar,GAYATRI NAGAR ESR,SZ-8,CHECK:18-24?,manual,0.352,0.395,0.253
LaxmiNagar,Khamla ESR,SZ-5,CHECK:02-04?,manual,0.363,0.362,0.275
LaxmiNagar,Khamla ESR,SZ-17,04-08,auto,0.29,0.34,0.37
LaxmiNagar,Khamla ESR,SZ-19,CHECK:02-04?,manual,0.368,0.36,0.272
LaxmiNagar,Khamla ESR,SZ-10,CHECK:18-24?,manual,0.341,0.386,0.274
LaxmiNagar,Khamla ESR,SZ-11,CHECK:18-24?,manual,0.336,0.392,0.272
LaxmiNagar,Khamla ESR,SZ-2,CHECK:02-04?,manual,0.365,0.371,0.264
LaxmiNagar,Khamla ESR,SZ-18,CHECK:02-04?,manual,0.373,0.36,0.268
LaxmiNagar,Khamla ESR,SZ-16,04-08,auto,0.3,0.339,0.361
LaxmiNagar,Khamla ESR,SZ-1,CHECK:02-04?,manual,0.381,0.37,0.249
LaxmiNagar,Khamla ESR,SZ-9,CHECK:02-04?,manual,0.368,0.362,0.27
LaxmiNagar,Khamla ESR,SZ-7,CHECK:02-04?,manual,0.396,0.371,0.233
LaxmiNagar,Khamla ESR,SZ-13,CHECK:18-24?,manual,0.342,0.39,0.268
LaxmiNagar,Khamla ESR,SZ-15,CHECK:02-04?,manual,0.365,0.389,0.246
LaxmiNagar,Khamla ESR,SZ-12,CHECK:18-24?,manual,0.344,0.385,0.272
LaxmiNagar,Khamla ESR,SZ-8,CHECK:02-04?,manual,0.365,0.361,0.274
LaxmiNagar,Khamla ESR,SZ-6,04-08,auto,0.3,0.341,0.359
LaxmiNagar,Khamla ESR,SZ-4,CHECK:02-04?,manual,0.364,0.363,0.273
LaxmiNagar,Khamla ESR,SZ-3,CHECK:02-04?,manual,0.376,0.363,0.261
LaxmiNagar,Khamla ESR,SZ-14,CHECK:02-04?,manual,0.363,0.361,0.277
LaxmiNagar,Khamla ESR,SZ-20,CHECK:02-04?,manual,0.368,0.359,0.274
LaxmiNagar,Laxmi Nagar New ESR,SZ-4,CHECK:18-24?,manual,0.344,0.385,0.271
LaxmiNagar,Laxmi Nagar New ESR,SZ-3,CHECK:02-04?,manual,0.405,0.355,0.241
LaxmiNagar,Laxmi Nagar New ESR,SZ-1,CHECK:18-24?,manual,0.33,0.395,0.275
LaxmiNagar,Laxmi Nagar New ESR,SZ-6,CHECK:02-04?,manual,0.357,0.396,0.247
LaxmiNagar,Laxmi Nagar New ESR,SZ-11,CHECK:02-04?,manual,0.366,0.363,0.271
LaxmiNagar,Laxmi Nagar New ESR,SZ-9,04-08,auto,0.291,0.341,0.368
LaxmiNagar,Laxmi Nagar New ESR,SZ-12,CHECK:02-04?,manual,0.367,0.36,0.273
LaxmiNagar,Laxmi Nagar New ESR,SZ-13,CHECK:02-04?,manual,0.344,0.384,0.272
LaxmiNagar,Laxmi Nagar New ESR,SZ-10,CHECK:02-04?,manual,0.327,0.343,0.33
LaxmiNagar,Laxmi Nagar New ESR,SZ-14,CHECK:02-04?,manual,0.37,0.364,0.267
LaxmiNagar,Laxmi Nagar New ESR,SZ-7,04-08,auto,0.291,0.342,0.367
LaxmiNagar,Laxmi Nagar New ESR,SZ-5,04-08,auto,0.281,0.351,0.367
LaxmiNagar,Laxmi Nagar New ESR,SZ-8,CHECK:18-24?,manual,0.341,0.411,0.248
LaxmiNagar,Laxmi Nagar New ESR,SZ-2,CHECK:02-04?,manual,0.349,0.386,0.266
LaxmiNagar,Laxmi Nagar Old ESR,SZ-15,CHECK:18-24?,manual,0.334,0.39,0.276
LaxmiNagar,Laxmi Nagar Old ESR,SZ-7,CHECK:02-04?,manual,0.35,0.383,0.267
LaxmiNagar,Laxmi Nagar Old ESR,SZ-6,CHECK:02-04?,manual,0.349,0.383,0.269
LaxmiNagar,Laxmi Nagar Old ESR,SZ-4,CHECK:02-04?,manual,0.364,0.399,0.237
LaxmiNagar,Laxmi Nagar Old ESR,SZ-5,CHECK:02-04?,manual,0.407,0.362,0.231
LaxmiNagar,Laxmi Nagar Old ESR,SZ-16,CHECK:02-04?,manual,0.349,0.385,0.266
LaxmiNagar,Laxmi Nagar Old ESR,SZ-3,CHECK:18-24?,manual,0.339,0.39,0.271
LaxmiNagar,Laxmi Nagar Old ESR,SZ-8,CHECK:18-24?,manual,0.337,0.393,0.27
LaxmiNagar,Laxmi Nagar Old ESR,SZ-11,CHECK:18-24?,manual,0.347,0.444,0.208
LaxmiNagar,Laxmi Nagar Old ESR,SZ-13,04-08,auto,0.295,0.35,0.355
LaxmiNagar,Laxmi Nagar Old ESR,SZ-14,CHECK:02-04?,manual,0.366,0.36,0.274
LaxmiNagar,Laxmi Nagar Old ESR,SZ-9,CHECK:18-24?,manual,0.343,0.385,0.272
LaxmiNagar,Laxmi Nagar Old ESR,SZ-17,CHECK:02-04?,manual,0.366,0.36,0.274
LaxmiNagar,Laxmi Nagar Old ESR,SZ-2,CHECK:02-04?,manual,0.37,0.38,0.25
LaxmiNagar,Laxmi Nagar Old ESR,SZ-10,CHECK:18-24?,manual,0.345,0.388,0.267
LaxmiNagar,Laxmi Nagar Old ESR,SZ-12,CHECK:02-04?,manual,0.381,0.386,0.233
LaxmiNagar,Laxmi Nagar Old ESR,SZ-1,CHECK:18-24?,manual,0.342,0.388,0.27
