sample_no,taluka,site_name,latitude,longitude,pH,EC,TDS,TH,Ca,Mg,Na,K,HCO3,Cl,SO4,NO3,F,SAR,RSC
189,Kuhi,Dhanoli,21.0446,79.2636,7.9,947,,310,36.0,53.0,74,8,415,53,38,30,0.9,1.83,0.64
190,Kuhi,Dodama,21.0112,79.2560,8,1906,,500,62.0,84.0,207,16,336,440,43,37,0.8,4.02,-4.50
191,Kuhi,Ambadi,21.0569,79.3643,8.1,928,,270,46.0,38.0,85,8,281,135,14,37,0.5,2.24,-0.82
192,UMRED,Umrer,20.8500,79.3333,7.9,2212,1171,637.5,139.0,69.3,181.8,10.22,862.4,130.3,182,2,0.92,3.14,1.49
193,PARSEONI,Ramtek,21.4000,79.3000,7.7,1407,746,387.6,87.9,40.1,102.23,10,469.9,117.9,51,44,0.95,2.27,0.01
194,NARKHED,Narkhed,21.4667,78.5333,7.4,1417,750,351.9,73.6,40.1,109,1.99,487.7,85.6,43,44,0.55,2.54A-43,1.02
195,HINGNA,Gumgaon,20.9917,79.0333,7.9,758,402,285.6,83.8,18.2,38,8.79,398.5,11.2,12,9,0.73,0.98,0.84
196,RAMTEK,Deolapar,21.5833,79.3667,7.7,613,325,204,47.0,20.7,41,5.67,345.0,13.6,11,0,1.36,1.25,1.60
197,UMRED,Panchgaon,21.0333,79.1667,8,584,310,229.5,63.4,17.0,17,1,249.8,13.6,41,28,1.21,0.49,-0.47
198,Kalmeshwa r,Wardhamna,21.1417,78.9333,7.6,1587,841,459,83.8,59.5,61,6.13,475.8,170.0,23,4,0.51,1.24,-1.29
199,KALAMESH WAR,Kalmeshwar,21.2333,78.9167,7.7,685,363,260.1,40.9,37.7,25,4.66,178.4,80.6,35,3,0.46,0.68,-2.22
200,RAMTEK,Chorbaoli,21.4667,79.3167,8,1134,566,255,51.1,30.4,133,2.13,487.7,73.2,20,0,0.84,3.64,2.94
201,PARSEONI,Parseoni,21.5500,79.1667,7.5,696,369,214.2,42.9,25.5,33,33.16,309.3,26.1,19,11,0.12,0.98,0.82
202,PARSEONI,Nagalwadi,21.5667,79.0167,7.7,781,414,229.5,47.0,26.7,51,7.07,327.1,28.5,18,15,0.65,1.47,0.81
203,RAMTEK,Sivani,21.4000,79.4708,7.9,790,418,234.6,42.9,30.4,69,1.41,374.7,33.5,23,14,1.23,1.97,1.50
204,Umrer,Uti,20.9500,79.2167,7.8,967,512,311.1,61.3,37.7,51,3.25,410.4,38.5,35,34,0.77,1.26,0.56
205,MOUDA,Chacher,21.2833,79.3417,7.7,792,420,234.6,53.1,24.3,65,1.81,315.2,45.9,64,4,1.31,1.85,0.51
206,RAMTEK,Manegaon,21.6806,79.4222,7.6,1459,773,433.5,83.8,53.5,42,5.56,463.9,95.5,7,46,0.83,0.88,-0.99
207,SAVNER,Kelod,21.4597,78.8764,7.7,1236,655,311.1,65.4,35.2,128,4.52,428.2,75.7,55,42,1.34,3.17,0.85
208,HINGNA,Sathnaori,21.1333,78.8000,7.8,1015,539,244.8,65.4,19.4,60,43.87,345.0,50.9,41,42,0.63,1.67,0.78
209,PARSEONI,Nayakund,21.3667,79.1833,7.8,773,409,239.7,45.0,30.4,50,6.06,309.3,36.0,22,33,0.92,1.41,0.32
210,SAVNER,Khubala,21.4500,78.9667,7.6,728,386,234.6,42.9,30.4,41,14.06,321.2,23.6,21,21,0.91,1.17,0.62
211,PARSEONI,Wagholi,21.3333,79.2167,7.7,666,353,214.2,40.9,26.7,52,4.6,315.2,23.6,14,15,0.96,1.55,0.92
212,RAMTEK,Sirpur,21.3667,79.4000,7.3,502,266,198.9,34.7,26.7,23,4.07,226.0,16.1,21,24,0.28,0.71,-0.23
213,MOUDA,Khat,21.2417,79.5458,7.9,861,456,249.9,47.0,31.6,56,2.04,368.7,48.4,32,7,2.22,1.55A-44,1.09
214,NAGPUR (RURAL),Borkhedi,20.8833,78.9750,7.6,826,438,239.7,49.1,27.9,54,3.93,386.6,26.1,18,9,0.55,1.52,1.58
215,KATOL,Chargaon (Punarwasi),21.2667,78.7583,7.7,858,454,285.6,45.0,41.3,56,1.22,356.9,31.0,28,39,0.54,1.45,0.20
216,NAGPUR (RURAL),Nagpur_Ramdasp eth,21.1306,79.0639,7.9,693,367,198.9,42.9,21.9,55,1.39,303.3,40.9,16,4,2.49,1.70,1.03
217,Narkhed,Lohara,21.2658,78.4083,7.3,647,342,229.5,65.4,15.8,43,1.6,291.4,36.0,33,8,0.22,1.24,0.21
218,BHIWAPUR,Nawegaon (Deshmukh),20.8028,79.4286,7.7,564,299,163.2,38.8,15.8,41,7.56,291.4,16.1,21,1,1.12,1.40,1.54
219,SAVNER,Kothulna,21.4194,79.0383,7.7,2329,1233,647.7,110.4,88.7,125,6.73,713.7,232.0,71,45,1.26,2.15,-1.12
220,Hingana,Kanholi,20.9333,78.8500,7.5,688,365,234.6,63.4,18.2,33,4.04,309.3,43.4,22,4,0.41,0.94,0.40
221,UMRED,Makardhokda,20.8667,79.2194,7.9,727,384,295.8,59.3,35.2,28,0.66,327.1,28.5,30,10,0.64,0.71,-0.50
222,HINGNA,Amgaon,20.9944,78.9250,7.4,564,299,188.7,42.9,19.4,26,1.14,243.8,31.0,22,1,0.38,0.83,0.25
223,NARKHED,Sawargaon,21.3917,78.6350,7.5,824,436,285.6,47.0,40.1,24,3,321.2,48.4,21,13,0.34,0.62,-0.39
224,Nagpur (Rural),Mohpa,21.1417,78.7625,7.8,877,465,290.7,49.1,40.1,48,1.94,345.0,36.0,28,30,1.25,1.23,-0.10
225,KALAMESH WAR,Dhapewada,21.3028,78.9139,7.5,1362,722,504.9,106.3,57.1,78,1.04,463.9,122.8,41,44,0.44,1.52,-2.41
226,KAMPTEE,Koradi,21.2528,79.0800,7.5,476,252,147.9,38.8,12.2,40,4.78,166.5,45.9,24,7,0.63,1.43,-0.21
227,NAGPUR (RURAL),Nagpur_Hanuma n nagar,21.1264,79.1056,7.5,1039,549,362.1,40.9,62.0,53,2.18,428.2,58.3,37,6,1.67,1.22,-0.12
228,SAVNER,Saoner-1,21.3897,78.9406,7.9,1304,691,418.2,63.4,62.0,62,0.73,487.7,73.2,38,44,0.51,1.33,-0.27
229,KATOL,Nandora,21.1706,78.6111,7.8,397,210,137.7,26.6,17.0,28,2.66,148.7,13.6,64,4,0.45,1.04,-0.29
230,HINGNA,Takalghat,20.9144,78.9439,7.6,2209,1170,627.3,126.7,74.1,109,88.05,927.8,155.1,59,47,0.58,1.90,2.77
231,SAVNER,Bhasali,21.3533,78.9906,7.8,1507,798,387.6,85.9,41.3,162,3.38,606.6,103.0,52,46,0.31,3.59,2.25
232,UMRED,Pipaldol,20.8331,79.2656,8,915,484,321.3,47.0,48.6,43,6.34,350.9,68.2,66,5,0.29,1.05A-45,-0.60
233,Bhiwapur,Bhiwapur,20.7664,79.5164,7.6,944,500,260.1,59.3,26.7,79,8.39,315.2,98.0,76,15,1.02,2.14,0.00
234,RAMTEK,Kharpada,21.5308,79.3475,7.5,1345,760,367.2,83.8,37.7,53,9.18,315.2,95.5,82,46,0.25,1.21,-2.12
235,NARKHED,Malapur,21.4322,78.6594,7.7,767,406,270.3,42.9,38.9,29,1.36,71.4,145.2,40,42,0.49,0.77,-4.18
236,NAGPUR (RURAL),Gonkhedi,21.1364,78.9008,7.7,724,384,214.2,42.9,25.5,55,1.58,315.2,28.5,50,12,1.05,1.64,0.92
237,KATOL,Ridhora,21.2322,78.6206,7.6,638,338,198.9,40.9,23.1,33,2.15,285.5,21.1,20,17,0.54,1.02,0.74
238,NAGPUR (RURAL),Nagpur_Wadi naka,21.1522,79.0178,7.6,912,483,316.2,47.0,47.4,53,2.14,309.3,68.2,56,22,0.33,1.30,-1.18
239,NAGPUR (RURAL),Nagpur_Chinchb hawan,21.0661,79.0611,7.5,1542,818,351.9,83.8,34.0,158,11.11,493.6,120.4,87,44,0.69,3.67,1.10
240,NAGPUR (RURAL),Nagpur_Punapur,21.1608,79.1692,7.5,990,524,275.4,63.4,27.9,82,11.41,208.2,140.2,78,2,0.19,2.16,-2.06
241,Nagpur (Rural),Nagpur_Koradi naka,21.2086,79.0772,7.8,1591,844,346.8,85.9,31.6,165,9.83,493.6,189.8,14,8,0.54,3.86,1.20
242,NAGPUR (RURAL),Nagpur_Police line takli,21.1764,79.0653,7.6,454,240,204,38.8,25.5,17,0.84,107.1,21.1,130,2,0.81,0.52,-2.29
243,KUHI,Kuhi-1,21.0150,79.3603,7.9,780,413,163.2,18.4,27.9,62,2.23,321.2,18.6,19,14,0.7,2.12,2.05
244,MOUDA,Tarsha,21.2258,79.3811,7.5,2490,1318,821.1,177.8,89.9,143,58.65,731.5,219.6,178,36,0.51,2.18,-4.30
245,HINGNA,Mohgaon,21.0683,78.8875,7.5,749,397,219.3,47.0,24.3,32,0.91,249.8,23.6,35,41,0.68,0.94,-0.26
246,SAVNER,Patansaongi-2,21.3353,79.0167,8,560,297,209.1,65.4,10.9,34,1.59,309.3,13.6,8,14,0.45,1.02,0.90
247,KALAMESH WAR,Lohgad,21.3422,78.7231,7.5,908,480,321.3,47.0,48.6,36,2.99,291.4,45.9,42,47,0.27,0.88,-1.57
248,UMRED,Singori,20.7453,79.0697,7.7,557,295,209.1,42.9,24.3,43,1.09,243.8,23.6,29,27,0.44,1.30,-0.15
249,Kalmeshwa r,Tondakhairi,21.2692,78.9525,7.7,825,436,300.9,47.0,43.7,39,15.51,380.6,36.0,19,37,0.74,0.98,0.29
250,Katol,Metpanjara,21.2658,78.7128,7.7,1391,737,469.2,124.7,37.7,39,6.32,368.7,112.9,87,30,0.48,0.78,-3.29
251,Kalmeshwa r,Sillori,21.3022,78.9731,7.7,2343,1241,877.2,249.4,60.8,106,114.2,921.9,187.4,126,46,0.24,1.56A-46,-2.36
252,Kalmeshwa r,Khapri,21.2353,78.8350,7.8,953,505,367.2,45.0,60.8,26,1.1,368.7,48.4,36,45,0.75,0.59,-1.20
253,Kalmeshwa r,Linga,21.2028,78.8214,7.7,1476,782,418.2,47.0,71.7,63,63.78,529.3,85.6,75,46,0.54,1.35,0.43
254,Kalmeshwa r,Kohli,21.2522,78.8161,7.7,908,482,367.2,65.4,48.6,29,1.64,380.6,40.9,42,41,1.03,0.66,-1.03
255,Katol,Wasboli,21.2189,78.7022,7.7,1141,569,326.4,42.9,52.3,40,12.84,386.6,53.4,41,44,0.62,0.97,-0.11
256,Kalmeshwa r,Ramgiri,21.3019,78.7514,7.2,522,276,163.2,45.0,12.2,45,1.79,273.6,16.1,14,9,0.6,1.54,1.24
257,Nagpur (Rural),Khairgaon,21.1858,78.9567,7.3,1333,706,453.9,92.0,53.5,33,1.8,428.2,78.2,66,47,0.25,0.68,-1.98
258,Nagpur (Rural),Satgaon,20.9297,79.0036,7.7,1012,536,214.2,42.9,25.5,72,0.77,243.8,83.1,62,25,1.02,2.15,-0.25
259,KALAMESH WAR,Ashti,21.2019,78.9683,7.8,782,414,300.9,65.4,32.8,37,1.23,374.7,18.6,26,41,0.76,0.93,0.17
260,NARKHED,Mohad,21.4686,78.4458,7.7,2076,1100,622.2,139.0,65.6,130,3.06,463.9,294.1,68,16,0.26,2.27,-4.74
261,MOUDA,Mouda-1,21.1472,79.4003,7.6,2288,1212,275.4,40.9,41.3,286,10.67,624.5,204.7,154,46,0.5,7.54,4.79
262,HINGNA,Hingna (Dhangarpura),21.0739,78.9578,7.6,664,352,249.9,24.5,45.0,33,1.55,321.2,21.1,23,23,0.32,0.91,0.34
263,Kuhi,khairi (dw),78.9331,21.0977,7.8,1309,850.85,205,54.1,17.0,9,0.2,305.1,212.7,360.225,93,0.11,0.27A-47,0.90
